Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","01371","Almonds, in shell","2014","2014","t","31.72","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","01371","Almonds, in shell","2014","2014","1000 USD","259","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","01371","Almonds, in shell","2015","2015","t","18.03","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","01371","Almonds, in shell","2015","2015","1000 USD","180","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","01371","Almonds, in shell","2015","2015","t","0","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5922","Export Value","01371","Almonds, in shell","2015","2015","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","01371","Almonds, in shell","2016","2016","t","42.86","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","01371","Almonds, in shell","2016","2016","1000 USD","320","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","21422","Almonds, shelled","2014","2014","t","169.24","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","21422","Almonds, shelled","2014","2014","1000 USD","1569","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","21422","Almonds, shelled","2014","2014","t","26.41","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5922","Export Value","21422","Almonds, shelled","2014","2014","1000 USD","239","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","21422","Almonds, shelled","2015","2015","t","334.33","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","21422","Almonds, shelled","2015","2015","1000 USD","3692","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","21422","Almonds, shelled","2015","2015","t","40.88","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5922","Export Value","21422","Almonds, shelled","2015","2015","1000 USD","436","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","21422","Almonds, shelled","2016","2016","t","1883.54","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","21422","Almonds, shelled","2016","2016","1000 USD","16208","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","21422","Almonds, shelled","2016","2016","t","1593.84","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5922","Export Value","21422","Almonds, shelled","2016","2016","1000 USD","12451","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","21529.03","Animal oils and fats n.e.c.","2014","2014","t","1058.62","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","21529.03","Animal oils and fats n.e.c.","2014","2014","1000 USD","1370","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2014","2014","t","8.53","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5922","Export Value","21529.03","Animal oils and fats n.e.c.","2014","2014","1000 USD","74","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","21529.03","Animal oils and fats n.e.c.","2015","2015","t","1254.68","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","21529.03","Animal oils and fats n.e.c.","2015","2015","1000 USD","1276","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2015","2015","t","0.76","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5922","Export Value","21529.03","Animal oils and fats n.e.c.","2015","2015","1000 USD","5","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","21529.03","Animal oils and fats n.e.c.","2016","2016","t","3078.77","I","Imputed value",""
"TCL","Crops and livestock products","704","Viet Nam","5622","Import Value","21529.03","Animal oils and fats n.e.c.","2016","2016","1000 USD","3389","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2016","2016","t","1.07","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5922","Export Value","21529.03","Animal oils and fats n.e.c.","2016","2016","1000 USD","7","A","Official figure",""
"TCL","Crops and livestock products","704","Viet Nam","5610","Import Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2014","2014","t","3690.24","I","Imputed value",""
