,Area,Element,Item,Unit,Value,kg_per_animal,animal
56,Afghanistan,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1800.0,180.0,"Meat of camels, fresh or chilled"
59,Afghanistan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1571.0,157.1,cattle
62,Afghanistan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8049.0,0.8049000000000001,chicken
65,Afghanistan,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,130.0,13.0,goat
68,Afghanistan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,152.0,15.2,sheep
287,Albania,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1187.0,118.7,cattle
290,Albania,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,15345.0,1.5345,chicken
293,Albania,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,118.0,11.8,goat
296,Albania,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,648.0,64.8,pig
299,Albania,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,145.0,14.5,sheep
302,Albania,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,70000.0,7.0,"Meat of turkeys, fresh or chilled"
544,Algeria,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,1128.0,112.8,horse
560,Algeria,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1451.0,145.1,"Meat of camels, fresh or chilled"
563,Algeria,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2332.0,233.2,cattle
566,Algeria,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10112.0,1.0112,chicken
569,Algeria,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,100.0,10.0,goat
572,Algeria,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,388.0,38.8,pig
575,Algeria,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,10000.0,1.0,"Meat of rabbits and hares, fresh or chilled"
578,Algeria,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,191.0,19.1,sheep
581,Algeria,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,49907.0,4.9907,"Meat of turkeys, fresh or chilled"
789,Angola,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1664.0,166.4,cattle
792,Angola,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10263.0,1.0263,chicken
795,Angola,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,155.0,15.5,goat
798,Angola,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,865.0,86.5,pig
801,Angola,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,158.0,15.8,sheep
941,Antigua and Barbuda,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1591.0,159.1,cattle
944,Antigua and Barbuda,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,12000.0,1.2,chicken
947,Antigua and Barbuda,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,159.0,15.9,goat
950,Antigua and Barbuda,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,506.0,50.6,pig
953,Antigua and Barbuda,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,159.0,15.9,sheep
1127,Argentina,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2288.0,228.8,horse
1152,Argentina,Yield/Carcass Weight,"Meat of asses, fresh or chilled",100,1575.0,157.5,"Meat of asses, fresh or chilled"
1155,Argentina,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,2321.0,232.1,cattle
1158,Argentina,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,30850.0,3.085,chicken
1161,Argentina,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,26527.0,2.6527000000000003,duck
1164,Argentina,Yield/Carcass Weight,"Meat of geese, fresh or chilled",0.1,30000.0,3.0,"Meat of geese, fresh or chilled"
1167,Argentina,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,66.0,6.6,goat
1170,Argentina,Yield/Carcass Weight,"Meat of mules, fresh or chilled",100,2042.0,204.2,"Meat of mules, fresh or chilled"
1173,Argentina,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,944.0,94.4,pig
1176,Argentina,Yield/Carcass Weight,"Meat of rabbits and hares, fresh or chilled",0.1,15656.0,1.5656,"Meat of rabbits and hares, fresh or chilled"
1179,Argentina,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,204.0,20.4,sheep
1182,Argentina,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,47792.0,4.7791999999999994,"Meat of turkeys, fresh or chilled"
1417,Armenia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1206.0,120.6,cattle
1420,Armenia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,10853.0,1.0853,chicken
1423,Armenia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,133.0,13.3,goat
1426,Armenia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,787.0,78.7,pig
1431,Armenia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,148.0,14.8,sheep
1650,Australia,Yield/Carcass Weight,"Horse meat, fresh or chilled",100,2630.0,263.0,horse
1678,Australia,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3071.0,307.1,cattle
1681,Australia,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,19511.0,1.9511,chicken
1684,Australia,Yield/Carcass Weight,"Meat of ducks, fresh or chilled",0.1,21391.0,2.1391,duck
1687,Australia,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,170.0,17.0,goat
1690,Australia,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,802.0,80.2,pig
1693,Australia,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,252.0,25.2,sheep
1696,Australia,Yield/Carcass Weight,"Meat of turkeys, fresh or chilled",0.1,33736.0,3.3736,"Meat of turkeys, fresh or chilled"
1955,Austria,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,3288.0,328.8,cattle
1958,Austria,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,94.0,9.4,goat
1961,Austria,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,974.0,97.4,pig
1964,Austria,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,202.0,20.2,sheep
2178,Azerbaijan,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1118.0,111.8,cattle
2181,Azerbaijan,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11800.0,1.18,chicken
2184,Azerbaijan,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,520.0,52.0,pig
2187,Azerbaijan,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,146.0,14.6,sheep
2387,Bahamas,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1700.0,170.0,cattle
2390,Bahamas,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,11624.0,1.1624,chicken
2393,Bahamas,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,117.0,11.7,goat
2396,Bahamas,Yield/Carcass Weight,"Meat of pig with the bone, fresh or chilled",100,500.0,50.0,pig
2399,Bahamas,Yield/Carcass Weight,"Meat of sheep, fresh or chilled",100,140.0,14.0,sheep
2533,Bahrain,Yield/Carcass Weight,"Meat of camels, fresh or chilled",100,1960.0,196.0,"Meat of camels, fresh or chilled"
2536,Bahrain,Yield/Carcass Weight,"Meat of cattle with the bone, fresh or chilled",100,1200.0,120.0,cattle
2539,Bahrain,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",0.1,8661.0,0.8661,chicken
2542,Bahrain,Yield/Carcass Weight,"Meat of goat, fresh or chilled",100,150.0,15.0,goat
