Common name,Botanical name,Tolerance based on,Threshold (ECe) (dS/m),Slope (% per dS/m),Rating
"Artichoke, Jerusalem",Helianthus tuberosus L.,Tuber yield,0.4,9.6,MS
Barley,Hordeum vulgare L.,Grain yield,8.0,5.0,T
Canola or rapeseed,Brassica campestris L. [syn. B. rapa L.],Seed yield,9.7,14,T
Canola or rapeseed,B. napus L.,Seed yield,11.0,13,T
Chickpea,Cicer arietinum L.,Seed yield,-,-,MS
Corn,Zea mays L.,Ear FW,1.7,12,MS
Cotton,Gossypium hirsutum L.,Seed cotton yield,7.7,5.2,T
Crambe,Crambe abyssinica Hochst. ex R.E. Fries,Seed yield,2.0,6.5,MS
Flax,Linum usitatissimum L.,Seed yield,1.7,12,MS
Guar,Cyamopsis tetragonoloba (L). Taub.,Seed yield,8.8,17,T
Kenaf,Hibiscus cannabinus L.,Stem DW,8.1,11.6,T
"Millet, channel",Echinochloa turnerana (Domin) J.M. Black,Grain yield,-,-,T
Oats,Avena sativa L.,Grain yield,-,-,T
Peanut,Arachis hypogaea L.,Seed yield,3.2,29,MS
"Rice, paddy",Oryza sativa L.,Grain yield,3,12,S
Roselle,Hibiscus sabdariffa L.,Stem DW,-,-,MT
Rye,Secale cereale L.,Grain yield,11.4,10.8,T
Safflower,Carthamus tinctorius L.,Seed yield,-,-,MT
Sesame,Sesamum indicum L.,Pod DW,-,-,S
Sorghum,Sorghum bicolor (L.) Moench,Grain yield,6.8,16,MT
Soybean,Glycine max (L.) Merrrill,Seed yield,5.0,20,MT
Sugar beet,Beta vulgaris L.,Storage root,7.0,5.9,T
Sugar cane,Saccharum officinarum L.,Shoot DW,1.7,5.9,MS
Sunflower,Helianthus annuus L.,Seed yield,4.8,5.0,MT
Triticale,X Triticosecale Wittmack,Grain yield,6.1,2.5,T
Wheat,Triticum aestivum L.,Grain yield,6.0,7.1,MT
Wheat (semi-dwarf),T. aestivum L.,Grain yield,8.6,3.0,T
"Wheat, Durum",T. turgidum L. var. durum Desf.,Grain yield,5.9,3.8,T
Alfalfa,Medicago sativa L.,Shoot DW,2.0,7.3,MS
"Alkaligrass, Nuttall",Puccinellia airoides (Nutt.) Wats. & Coult.,Shoot DW,-,-,T*
Alkali sacaton,Sporobolus airoides Torr.,Shoot DW,-,-,T*
Barley (forage),Hordeum vulgare L.,Shoot DW,6.0,7.1,MT
"Bentgrass, creeping",Agrostis stolonifera L.,Shoot DW,-,-,MS
Bermudagrass,Cynodon dactylon (L.) Pers.,Shoot DW,6.9,6.4,T
"Bluestem, Angleton",Dichanthium aristatum (Poir.) C.E. Hubb. [syn. Andropogon nodosus (Willem.) Nash],Shoot DW,-,-,MS*
Broad bean,Vicia faba L.,Shoot DW,1.6,9.6,MS
"Brome, mountain",Bromus marginatus Nees ex Steud.,Shoot DW,-,-,MT*
"Brome, smooth",B. inermis Leyss,Shoot DW,-,-,MT
Buffelgrass,Pennisetum ciliare (L). Link. [syn. Cenchrus ciliaris],Shoot DW,-,-,MS*
Burnet,Poterium sanguisorba L.,Shoot DW,-,-,MS*
"Canarygrass, reed",Phalaris arundinacea L.,Shoot DW,-,-,MT
"Clover, alsike",Trifolium hybridum L.,Shoot DW,1.5,12,MS
"Clover, Berseem",T. alexandrinum L.,Shoot DW,1.5,5.7,MS
"Clover, Hubam",Melilotus alba Dest. var. annua H.S.Coe,Shoot DW,-,-,MT*
"Clover, ladino",Trifolium repens L.,Shoot DW,1.5,12,MS
"Clover, Persian",T. resupinatum L.,Shoot DW,-,-,MS*
"Clover, red",T. pratense L.,Shoot DW,1.5,12,MS
"Clover, strawberry",T. fragiferum L.,Shoot DW,1.5,12,MS
"Clover, sweet",Melilotus sp. Mill.,Shoot DW,-,-,MT*
"Clover, white Dutch",Trifolium repens L.,Shoot DW,-,-,MS*
Corn (forage),Zea mays L.,Shoot DW,1.8,7.4,MS
Cowpea (forage),Vigna unguiculata (L.) Walp.,Shoot DW,2.5,11,MS
Dallisgrass,Paspalum dilatatum Poir.,Shoot DW,-,-,MS*
Dhaincha,Sesbania bispinosa (Linn.) W.F. Wight [syn. Sesbania aculeata (Willd.) Poir],Shoot DW,-,-,MT
"Fescue, tall",Festuca elatior L.,Shoot DW,3.9,5.3,MT
"Fescue, meadow",Festuca pratensis Huds.,Shoot DW,-,-,MT*
"Foxtail, meadow",Alopecurus pratensis L.,Shoot DW,1.5,9.6,MS
Glycine,Neonotonia wightii [syn. Glycine wightii or javanica],Shoot DW,-,-,MS
"Gram, black or Urd bean",Vigna mungo (L.) Hepper [syn. Phaseolus mungo L.],Shoot DW,-,-,S
"Grama, blue",Bouteloua gracilis (HBK) Lag. ex Steud.,Shoot DW,-,-,MS*
Guinea grass,Panicum maximum Jacq.,Shoot DW,-,-,MT
Hardinggrass,Phalaris tuberosa L. var. stenoptera (Hack) A. S. Hitchc.,Shoot DW,4.6,7.6,MT
Kallargrass,Leptochloa fusca (L.) Kunth [syn. Diplachne fusca Beauv.],Shoot DW,-,-,T
Lablab bean,Lablab purpureus (L.) Sweet [syn. Dolichos lablab L.],Shoot DW,-,-,MS
Lovegrass,Eragrostis sp. N. M. Wolf,Shoot DW,2.0,8.4,MS
"Milkvetch, Cicer",Astragalus cicer L.,Shoot DW,-,-,MS*
"Millet, Foxtail",Setaria italica (L.) Beauvois,Dry matter,-,-,MS
"Oatgrass, tall",Arrhenatherum elatius (L.) Beauvois ex J. Presl & K. Presl,Shoot DW,-,-,MS*
Oats (forage),Avena sativa L.,Straw DW,-,-,T
Orchardgrass,Dactylis glomerata L.,Shoot DW,1.5,6.2,MS
"Panicgrass, blue",Panicum antidotale Retz.,Shoot DW,-,-,MS*
Pigeon pea,Cajanus cajan (L.) Huth [syn. C. indicus (K.) Spreng.],Shoot DW,-,-,S
Rape (forage),Brassica napus L.,,-,-,MT*
Rescuegrass,Bromus unioloides HBK,Shoot DW,-,-,MT*
Rhodesgrass,Chloris Gayana Kunth.,Shoot DW,-,-,MT
Rye (forage),Secale cereale L.,Shoot DW,7.6,4.9,T
"Ryegrass, Italian",Lolium multiflorum Lam.,Shoot DW,-,-,MT*
"Ryegrass, perennial",Lolium perenne L.,Shoot DW,5.6,7.6,MT
"Ryegrass, Wimmera",L. rigidum Gaud.,,-,-,MT*
"Saltgrass, desert",Distichlis spicta L. var. stricta (Torr.) Bettle,Shoot DW,-,-,T*
Sesbania,Sesbania exaltata (Raf.) V.L. Cory,Shoot DW,2.3,7.0,MS
Sirato,Macroptilium atropurpureum (DC.) Urb.,Shoot DW,-,-,MS
Sphaerophysa,Sphaerophysa salsula (Pall.) DC,Shoot DW,2.2,7.0,MS
Sudangrass,Sorghum sudanense (Piper) Stapf,Shoot DW,2.8,4.3,MT
Timothy,Phleum pratense L.,Shoot DW,-,-,MS*
"Trefoil, big",Lotus pedunculatus Cav.,Shoot DW,2.3,19,MS
"Trefoil, narrowleaf birdsfoot",L. corniculatus var tenuifolium L.,Shoot DW,5.0,10,MT
"Trefoil, broadleaf birdsfoot",L. corniculatus L. var arvenis (Schkuhr) Ser. ex DC,Shoot DW,-,-,MS
"Vetch, common",Vicia angustifolia L.,Shoot DW,3.0,11,MS
Wheat (forage),Triticum aestivum L.,Shoot DW,4.5,2.6,MT
"Wheat, Durum (forage)",T. turgidum L. var durum Desf.,Shoot DW,2.1,2.5,MT
"Wheatgrass, standard crested",Agropyron sibiricum (Willd.) Beauvois,Shoot DW,3.5,4.0,MT
